Driver,Team,Circuit,PrevLapTime,AvgLast3Laps,AvgLast5Laps,TyreLife,Compound,Stint,LapNumber,Position,TrackStatus,InPit,AirTemp,TrackTemp,Humidity,Rainfall,NextLapTime
ALO,Aston Martin,Australian Grand Prix,92.51,92.779,92.64540000000001,24.0,INTERMEDIATE,4.0,24.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.761
ALO,Aston Martin,Australian Grand Prix,91.665,92.48566666666666,92.52239999999999,25.0,INTERMEDIATE,4.0,25.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.343
ALO,Aston Martin,Australian Grand Prix,91.761,91.97866666666668,92.3526,26.0,INTERMEDIATE,4.0,26.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.895
ALO,Aston Martin,Australian Grand Prix,91.343,91.58966666666667,92.1122,27.0,INTERMEDIATE,4.0,27.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.652
ALO,Aston Martin,Australian Grand Prix,90.895,91.33300000000001,91.6348,28.0,INTERMEDIATE,4.0,28.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,89.718
ALO,Aston Martin,Australian Grand Prix,90.652,90.96333333333332,91.2632,29.0,INTERMEDIATE,4.0,29.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,89.374
ALO,Aston Martin,Australian Grand Prix,89.718,90.42166666666667,90.87379999999999,30.0,INTERMEDIATE,4.0,30.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,88.85
ALO,Aston Martin,Australian Grand Prix,89.374,89.91466666666668,90.3964,31.0,INTERMEDIATE,4.0,31.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,88.819
ANT,Mercedes,Australian Grand Prix,95.385,95.11099999999999,96.07480000000001,13.0,INTERMEDIATE,4.0,13.0,13.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,93.802
ANT,Mercedes,Australian Grand Prix,93.697,94.58666666666666,95.0684,14.0,INTERMEDIATE,4.0,14.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.212
ANT,Mercedes,Australian Grand Prix,93.802,94.29466666666667,94.5664,15.0,INTERMEDIATE,4.0,15.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,97.326
ANT,Mercedes,Australian Grand Prix,92.212,93.23700000000001,93.9548,16.0,INTERMEDIATE,4.0,16.0,13.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.312
ANT,Mercedes,Australian Grand Prix,97.326,94.44666666666667,94.48440000000001,17.0,INTERMEDIATE,4.0,17.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,92.181
ANT,Mercedes,Australian Grand Prix,92.312,93.94999999999999,93.86980000000001,18.0,INTERMEDIATE,4.0,18.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.942
ANT,Mercedes,Australian Grand Prix,92.181,93.93966666666665,93.56660000000001,19.0,INTERMEDIATE,4.0,19.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.319
ANT,Mercedes,Australian Grand Prix,91.942,92.145,93.19460000000001,20.0,INTERMEDIATE,4.0,20.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.042
ANT,Mercedes,Australian Grand Prix,91.319,91.81400000000001,93.01599999999999,21.0,INTERMEDIATE,4.0,21.0,12.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.887
ANT,Mercedes,Australian Grand Prix,91.042,91.43433333333333,91.75919999999999,22.0,INTERMEDIATE,4.0,22.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.324
